	study_name	sample_id	NCBI_accession	ftp_urls	url_counts
22039	XieH_2016	YSZC12003_37191R1	ERR912039	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912039/ERR912039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912039/ERR912039_2.fastq.gz	2
22040	XieH_2016	YSZC12003_37192R1	ERR912144	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912144/ERR912144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912144/ERR912144_2.fastq.gz	2
22041	XieH_2016	YSZC12003_37193R1	ERR912040	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912040/ERR912040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912040/ERR912040_2.fastq.gz	2
22042	XieH_2016	YSZC12003_37194	ERR912041	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912041/ERR912041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912041/ERR912041_2.fastq.gz	2
22043	XieH_2016	YSZC12003_37195	ERR912145	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912145/ERR912145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912145/ERR912145_2.fastq.gz	2
22044	XieH_2016	YSZC12003_37196	ERR912042	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912042/ERR912042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912042/ERR912042_2.fastq.gz	2
22045	XieH_2016	YSZC12003_37197R1	ERR912109	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912109/ERR912109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912109/ERR912109_2.fastq.gz	2
22046	XieH_2016	YSZC12003_37198R1	ERR912043	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912043/ERR912043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912043/ERR912043_2.fastq.gz	2
22047	XieH_2016	YSZC12003_37199	ERR912044	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912044/ERR912044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912044/ERR912044_2.fastq.gz	2
22048	XieH_2016	YSZC12003_37200R1	ERR912110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912110/ERR912110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912110/ERR912110_2.fastq.gz	2
22049	XieH_2016	YSZC12003_37201	ERR912146	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912146/ERR912146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912146/ERR912146_2.fastq.gz	2
22050	XieH_2016	YSZC12003_37202R1	ERR912111	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912111/ERR912111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912111/ERR912111_2.fastq.gz	2
22051	XieH_2016	YSZC12003_37203	ERR912193	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912193/ERR912193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912193/ERR912193_2.fastq.gz	2
22052	XieH_2016	YSZC12003_37204	ERR912112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912112/ERR912112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912112/ERR912112_2.fastq.gz	2
22053	XieH_2016	YSZC12003_37205	ERR912113	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912113/ERR912113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912113/ERR912113_2.fastq.gz	2
22054	XieH_2016	YSZC12003_37206	ERR912045	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912045/ERR912045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912045/ERR912045_2.fastq.gz	2
22055	XieH_2016	YSZC12003_37207R1	ERR912114	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912114/ERR912114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912114/ERR912114_2.fastq.gz	2
